AAPL
GOOGL
GOOG
MSFT
BRK/B
BRK/A
AMZN
FB
XOM
JNJ
GE
WFC
CHL
T
BABA
JPM
PG
WMT
VZ
PFE
NVS
RDS/B
RDS/A
BUD
TM
PTR
V
CVX
KO
MRK
INTC
ORCL
HD
BAC
CSCO
CMCSA
PM
PEP
HSBC
IBM
DIS
TSM
UN
UL
C
MO
UNH
AMGN
TOT
MDT
NVO
SAP
MMM
SLB
KHC
BP
GSK
MA
ABBV
DCM
GILD
SNY
CVS
MCD
NKE
UPS
ABEV
NTT
BMY
AGN
QCOM
SNP
UTX
WBA
HON
LFC
LLY
CHTR
AZN
SBUX
VOD
BA
CELG
MTU
UNP
BHP
BBL
USB
ACN
WBK
LMT
DEO
RAI
GS
PCLN
TXN
COST
MDLZ
BIIB
AVGO
SPG
LOW
CL
SAN
AIG
ITUB
ABT
BIDU
HDB
BLK
DD
TWX
DOW
MS
AXP
TMO
CB
OXY
LYG
PBR
PBR/A
RIO
SHPG
NEE
DVMT
EPD
HMC
DHR
E
DUK
CEO
NGG
BT
ADBE
CRM
STO
TJX
BBD
BBDO
TEF
SO
SMFG
COP
GM
F
ING
ABB
AMT
EOG
KMI
PUK
CAT
MET
MON
GD
TEVA
D
ASML
KMB
FOXA
FOX
ESRX
PYPL
MFG
PNC
BK
FDX
SYK
ITW
CHA
LVS
GIS
NFLX
SCHW
RTN
MCK
PSX
ADP
BBVA
SNE
YHOO
AET
REGN
SYT
TGT
ORAN
RELX
RENX
BCS
PSA
TMUS
AMOV
AMX
CAJ
NOC
BDX
INFY
HAL
HPE
CME
COF
EBAY
ECL
YUM
CTSH
MMC
JD
PX
PRU
CUK
CCL
TRV
EMR
APD
ICE
NOK
STZ/B
STZ
NVDA
KEP
LYB
SPGI
BSX
CI
EL
ANTM
AMAT
CCI
RBS
AEP
TLK
ARMH
ATVI
BX
PCG
EXC
BBT
VMW
FMX
PXD
KR
ETN
TSN
NXPI
WPPGY
AFL
AON
LBTYB
LBTYA
LBTYK
SYY
TSLA
MNST
HCA
INTU
K
APC
PPG
WM
PLD
NTES
CRH
PHG
CHT
CHU
DAL
CS
ALXN
NSC
VALE
VALE/P
STT
FMS
HCN
TTM
ORLY
CSX
ISRG
BSBR
HUM
DE
SHW
EQIX
FIS
SRE
LNKD
GGP
ZBH
NWL
VTR
WIT
ALL
S
ADM
CAH
ZTS
SE
VLO
BAX
EA
ROST
VFC
HPQ
EW
ILMN
VIV
DFS
AVB
DISH
EIX
WY
PPL
ERIC
AV
EQR
GLW
VRTX
LUX
HLT
WPZ
CBS/A
CBS
SYF
DVN
ED
FISV
IBN
LUV
TEL
STJ
MPC
TAP/A
TAP
CTRP
PAYX
CERN
BXP
STI
PEG
AZO
NEM
ETP
MYL
WMB
BHI
CMI
LB
XEL
HSY
MCO
BEN
ABC
PCAR
DG
OMC
CAG
SIRI
HRL
IP
SCCO
IX
DLTR
VNO
APA
TYC
BF/B
BF/A
ADI
AAL
APH
DLPH
WEC
PGR
CLR
NLSN
RYAAY
CCE
ETE
SWK
MT
CXO
ROP
FTV
MTB
EC
HCP
NMR
MAR
LVLT
PKX
CPB
KYO
WDAY
IR
SHG
DPS
RSG
WLTW
MU
ES
AMTD
TROW
O
CLX
HES
EXPE
INFO
SSL
TI/A
TI
DTE
PH
UAL
SJM
BMRN
AMP
BCR
TS
MMP
VIAB
VIA
EFX
TV
NTRS
UA/C
UA
MHK
KOF
HIG
SKM
NUE
DISCK
DISCA
DISCB
MJN
FLT
INCY
FITB
GPC
ULTA
TDG
A
CTL
VMC
ROK
LRCX
ADSK
RCL
SYMC
SNN
ESS
NBL
DLR
IBKR
SBAC
HNP
XRAY
CA
VRSK
ETR
PFG
LH
LLTC
BLL
L
SEP
SWKS
FE
FCX
GWW
MGM
TWTR
XLNX
BRFS
KB
CHKP
KEY
CTXS
MCHP
HSIC
WHR
MDVN
DVA
RHT
WDC
FDC
AA
AWK
GRFS
MKL
MRO
HOT
BSMX
AGR
PANW
PRGO
MSI
LBRDA
LBRDK
BAP
HST
IVZ
MKC
MKC/V
CHD
CFG
XEC
CINF
KIM
NOV
WAT
NOW
FAST
UGP
RF
EQT
CTAS
BBY
ADS
WRK
SLG
CEA
AEE
AYI
KKR
CMG
CX
NDAQ
CMS
DHI
MAC
UHS
GPN
CNC
MLM
MAS
AAP
MXIM
HRS
PNR
LLL
DGX
KMX
FRC
MAT
AME
FRT
MPLX
TSCO
COG
M
PAA
DOV
LSXMB
LSXMK
LSXMA
OKS
LNC
BIP
TXT
IFF
COL
LKQ
KLAC
BCH
HBAN
NLY
MBLY
HOLX
COH
MTD
WU
WB
HAS
KSU
MOS
VNTV
EXR
FNF
SCG
IDXX
IRM
BSAC
VER
CHRW
STX
OKE
CNHI
EMN
CBG
QVCB
QVCA
INGR
XRX
ACGL
HBI
DRE
WWAV
FBHS
WFM
IMS
CNP
NTAP
LEN/B
LEN
UDR
AKAM
LPL
PSO
ALLY
SEE
ASX
XL
GPS
AVAL
HOG
RMD
ZNH
RACE
WYNN
LULU
CIB
GOLD
TSS
CE
ALV
EXPD
ARMK
BPL
IPG
ALB
GRMN
Q
DOX
SXL
XYL
CNA
LN
COO
JBHT
SNPS
VAR
JWN
AEG
JNPR
FL
SNA
NFX
TRIP
COTY
BG
CDK
TSO
AJG
N
TIF
BRX
ARE
PVH
LNT
IHG
FCAU
PHI
RL
REG
MSCI
AOS
PNW
VRSN
ALK
BR
ENIA
VAL
LEA
CNCO
SHI
ANSS
KORS
UNM
EEP
Y
CMA
VIPS
SNI
KT
RJF
MELI
FFIV
TFX
NWSA
NWS
MBT
WGP
NCLH
RE
AES
UGI
RDY
SABR
AR
RAD
SPB
SPLK
DRI
ACH
CPT
WR
KSS
GT
MNK
HII
TMK
NI
WYN
VEDL
DXCM
APO
ATO
ALGN
CCK
VIP
CDNS
AMG
IT
FANG
BWA
PKG
AER
NYCB
CPL
NNN
TKC
SEIC
MIDD
FDS
HDS
QRVO
RPM
CIT
ASH
TRGP
JAZZ
CDW
DPZ
JHX
SQM
FLR
ETFC
MAA
FLEX
WRB
WES
PE
YNDX
AIV
PHM
IEX
SRCL
MHG
BBBY
ZAYO
H
LII
OHI
GLPI
URI
PAGP
WPC
ITC
IEP
JKHY
AU
CSGP
AVY
ALLE
MPEL
RGA
LEG
DDR
AXTA
WAB
CSC
RRC
SWN
LUK
ALKS
TRMB
YPF
OAK
UHAL
WUBA
CSL
WLK
EQGP
SSNC
WF
ELS
MIC
KRC
DKS
ACC
MRVL
STM
EDU
NVR
ST
YZC
AFG
TEAM
HP
MKTX
SBS
SBNY
AGNC
EQM
SRC
OC
FTNT
FLS
FMC
ZION
ROL
JEC
ENLK
SGEN
TSU
FTI
FCE/B
FCE/A
OGE
Z
ZG
EOCC
MD
QGEN
SIG
ULTI
LDOS
WST
LAMR
LPT
TYL
TRU
STE
BKFS
PF
CF
HUBB
ENBL
WBC
HAR
BURL
PPC
POST
AMD
ARW
SPR
ALNY
STLD
KAR
ODFL
PKI
MTN
WOOF
SIVB
VOYA
EGN
COMM
DEI
NDSN
SINA
HLF
LVNTB
LVNTA
PAC
CPRT
ANET
BERY
CBOE
SPLS
GRA
MGP
STWD
LYV
WTR
VEEV
SHLX
USFD
SNH
AIZ
ARRS
ERIE
TARO
JLL
EWBC
BAK
PII
THS
FTR
GDDY
UTHR
TTC
AVT
ENIC
AMH
WRI
BRO
WSO
WSO/B
BEAV
SUI
HIW
SON
RS
PACW
NEU
CASY
IM
SCI
OPK
KEYS
AXS
TFSL
ARCC
PNRA
JBLU
CHK
PSXP
GNTX
RGLD
TOL
DCI
SERV
PBCT
XRS
EPR
WCG
ABMD
BUFF
ORI
CG
CUBE
WFT
SMG
MIK
DNB
LILAK
LILA
DLB
RHI
PTC
BMS
G
ATR
RNR
HPT
MAN
CLB
AN
NFG
CBSH
CSAL
AM
PNY
TWLO
LAZ
ATHN
TLLP
OZRK
SMI
TCO
CRI
HRB
HHC
ASR
EPC
IGT
UMC
FAF
ACM
MOMO
IAC
HTA
MDU
ALSN
GPK
PDCO
WSM
IPGP
MUR
QEP
NAVI
ON
TPX
CFR
GWRE
EV
BOKF
SPIL
OA
MSM
STOR
MSCC
BAH
GFI
AFSI
CNK
DNKN
PINC
EQY
ACHC
BMA
SIX
GGB
CPN
ENH
SC
BIO/B
BIO
WEX
WPX
DCT
TGNA
ITCB
MANH
ENDP
DATA
STR
LFL
FEIC
GSH
TSRO
HFC
MSG
UBNT
CSRA
LECO
CAA
TER
CBD
THO
CGNX
GEL
NBIX
APU
GXP
NCR
LSI
FLIR
CONE
ICLR
URBN
SNX
POOL
QUNR
HEI/A
HEI
CNX
HTZ
BC
HXL
RICE
HUN
GGG
NUAN
BWP
EVHC
TDC
BPOP
SNV
SQ
NICE
EEFT
HR
VVC
JBL
OMF
FICO
WTM
VR
RPAI
GPT
BWXT
CACC
SBH
ACIA
CW
COR
SID
MTCH
BFAM
TX
HPP
WAL
OSK
DST
USG
RSPP
CRL
CCU
TECH
RAX
EQC
GGAL
COLM
GWR
PWR
PAG
XPO
PGRE
HRC
WWD
AMCX
EXP
RLGY
FSLR
SKT
IDA
PB
FBR
SKX
PTHN
AGCO
DPM
TTWO
ARES
BVN
MMS
EOCA
CR
CY
POR
FHB
HAIN
TDY
ACAD
ISBC
NRG
SBGL
LANC
VSAT
NS
ICPT
SATS
PVTB
MPW
SYNT
TRN
AMSG
OLN
ZBRA
ACAS
HLS
AZPN
CFX
CLGX
TEGP
CIG/C
CIG
VWR
AGO
GPOR
MORN
PRXL
CST
NRZ
PPS
BRCD
BRKR
CBRL
NATI
BFR
LM
EPAM
UMPQ
RRD
FHN
AUO
WBS
IONS
R
TRCO
AWH
GRUB
EME
RIG
PBI
TEO
TCP
RYN
ERJ
FR
LNCE
ALR
RGC
TEP
JW/B
JW/A
FCNCA
FII
SM
SFM
DLX
CAB
SWX
SXT
ESRT
NUVA
SUN
AEO
AKO/A
AKO/B
THG
EDR
AKRX
PFPT
P
FIT
JACK
JCOM
TUP
HOMB
RES
W
NUS
BLKB
ITT
BKU
APLE
BKD
FUN
CAVM
CAR
CRUS
WGL
IART
ELLI
HRG
OGS
DFT
CPA
CLC
HE
CMN
ESGR
BGS
BSM
CABO
TEN
USM
INT
SFR
CBT
PDM
SLM
CIEN
CMPR
NHI
BDC
MDSO
CTLT
CIM
TWO
MOH
NYLD
NYLD/A
MPWR
X
TXRH
ANAT
MRD
HTHT
BOH
PAYC
PDCE
RLI
CHFC
BKH
ENS
ENR
ENLC
TDS
GRPN
OUT
FLO
PRAH
CBI
PSB
PSEC
LHO
MCY
LGF
FDP
CBPO
AL
JUNO
STRZA
STRZB
VMI
AMFW
YELP
XON
UBSI
RDN
LPI
LIVN
ALE
UMBF
ASB
HCSG
AMC
SLGN
AKR
COTV
SR
BWLD
MASI
GME
EAT
ZEN
NJR
LSTR
SHO
POL
CXP
OI
JCP
PTEN
YY
KITE
NTL
PRA
CVG
MBFI
UNVR
MUSA
UE
MFA
SAIC
RLJ
BDN
NBR
KEX
HZNP
WTFC
LFUS
DOC
STAY
BXMT
LPX
CNO
IBKC
VGR
NWE
AHL
MANU
PZZA
ATHM
MTG
SAVE
IDTI
GHC
BECN
RBC
NTCT
SBGI
VLP
CLH
ISIL
NVRO
PFGC
WOR
OFC
TSE
RHP
DY
JNS
IBA
PRI
MDCO
CHH
OLED
WNR
WCC
JOY
WEN
INXN
LPLA
EXEL
TKR
MKSI
TEX
UNF
MENT
FNB
AVA
PNFP
CSOD
SLCA
RRR
FEYE
TECD
SF
LXP
COHR
RARE
WPG
QTS
CMP
PNM
CLI
AVP
WMGI
CCP
KW
HA
OII
PSMT
PBH
HELE
SWFT
OMAB
TMH
